blocktyp;url;sidtyp;h2_full;h2_bas;h2_accent;kvitto_rad1;sats;kommentar
ROT;https://ampy.se/;Startsida;Elarbete i hemmet med 30 % ROT-avdrag;Elarbete i hemmet med;30 % ROT-avdrag;Elarbete;30 %;Startsidan är vertikal-agnostisk: H2 håller sig till 'elarbete i hemmet'.
ROT;https://ampy.se/elektriker/;Hubb;Anlita elektriker med 30 % ROT-avdrag;Anlita elektriker med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elinstallation/;Hubb;Elinstallation med 30 % ROT-avdrag;Elinstallation med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elektriker/akersberga/;Ortssida;Elektriker i Åkersberga med 30 % ROT-avdrag;Elektriker i Åkersberga med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/alta/;Ortssida;Elektriker i Älta med 30 % ROT-avdrag;Elektriker i Älta med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/alvik/;Ortssida;Elektriker i Alvik med 30 % ROT-avdrag;Elektriker i Alvik med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/alvsjo/;Ortssida;Elektriker i Älvsjö med 30 % ROT-avdrag;Elektriker i Älvsjö med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/arsta/;Ortssida;Elektriker i Årsta med 30 % ROT-avdrag;Elektriker i Årsta med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/aspudden/;Ortssida;Elektriker i Aspudden med 30 % ROT-avdrag;Elektriker i Aspudden med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/bagarmossen/;Ortssida;Elektriker i Bagarmossen med 30 % ROT-avdrag;Elektriker i Bagarmossen med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/botkyrka/;Ortssida;Elektriker i Botkyrka med 30 % ROT-avdrag;Elektriker i Botkyrka med;30 % ROT-avdrag;Elarbete;30 %;
